Ticker,Company Name
RELIANCE.NS,Reliance Industries
TCS.NS,Tata Consultancy Services
HDFCBANK.NS,HDFC Bank
INFY.NS,Infosys
ICICIBANK.NS,ICICI Bank
HINDUNILVR.NS,Hindustan Unilever
SBIN.NS,State Bank of India
BAJFINANCE.NS,Bajaj Finance
BHARTIARTL.NS,Bharti Airtel
ITC.NS,ITC
KOTAKBANK.NS,Kotak Mahindra Bank
ADANIENT.NS,Adani Enterprises
LT.NS,Larsen & Toubro
HCLTECH.NS,HCL Technologies
ASIANPAINT.NS,Asian Paints
AXISBANK.NS,Axis Bank
SUNPHARMA.NS,Sun Pharma
WIPRO.NS,Wipro
ULTRACEMCO.NS,UltraTech Cement
HDFCLIFE.NS,HDFC Life Insurance
ONGC.NS,Oil & Natural Gas Corp
NTPC.NS,NTPC
POWERGRID.NS,Power Grid Corp
TATAMOTORS.NS,Tata Motors
INDUSINDBK.NS,IndusInd Bank
ADANIGREEN.NS,Adani Green Energy
TITAN.NS,Titan Company
DIVISLAB.NS,Divi's Laboratories
TECHM.NS,Tech Mahindra
MARUTI.NS,Maruti Suzuki
COALINDIA.NS,Coal India
BPCL.NS,Bharat Petroleum
JSWSTEEL.NS,JSW Steel
DRREDDY.NS,Dr. Reddy's Laboratories
BAJAJFINSV.NS,Bajaj Finserv
ADANIPORTS.NS,Adani Ports
CIPLA.NS,Cipla
BRITANNIA.NS,Britannia Industries
HAVELLS.NS,Havells India
SHREECEM.NS,Shree Cement
GRASIM.NS,Grasim Industries
TATASTEEL.NS,Tata Steel
HEROMOTOCO.NS,Hero MotoCorp
M&M.NS,Mahindra & Mahindra
EICHERMOT.NS,Eicher Motors
IOC.NS,Indian Oil Corp
SBICARD.NS,SBI Cards
PIDILITIND.NS,Pidilite Industries
DMART.NS,Avenue Supermarts
HDFCAMC.NS,HDFC Asset Management
